signing_year,half_life_months,n,mae,rmse,bias,mean_ess,median_ess
2020,24,116,2.3544330877668678,2.7700703798744035,1.2123483338712184,117.73386778775972,130.46099423952404
2020,60,116,2.442083135672225,2.877003979395142,1.3848904844478545,142.46976395995213,165.20299267511166
2021,4,183,2.5498600671175757,3.168638342587449,-0.48741043764283687,49.45631599353582,47.27699888315037
2021,6,183,2.550327169728918,3.164908811114689,-0.4620287724255406,65.7336455505935,61.836785824407414
2021,8,183,2.552526196235475,3.159486290812737,-0.40830928319522947,80.53665526942186,76.181088489133
2021,12,183,2.5579890073269778,3.150748765059628,-0.2981209722452168,106.05992729218647,103.87679238969059
2021,24,183,2.577510004212269,3.144383897416489,-0.08524389404673635,152.85708081870678,155.15684806429982
2021,60,183,2.6068821035897782,3.15423885326933,0.12888489521517627,189.20760095958533,195.47824490452544
2022,4,189,2.5239436103054125,3.046951321238056,0.2919892850150453,61.057996720118304,54.76344160049132
2022,6,189,2.5203760026774815,3.025819568260181,0.297221776339213,87.81442767916103,89.66695307410691
2022,8,189,2.520088185681232,3.0162171465298124,0.3067592251820962,109.66409368814685,114.81451122996278
2022,12,189,2.524924897989077,3.0098717834201194,0.33936255761568707,143.068686304741,145.88179908769945
2022,24,189,2.550109133891129,3.015754673175561,0.44452726081370164,201.32904606347722,206.70316639924312
2022,60,189,2.590018167996478,3.0401628142572914,0.59345072254711,250.16553888451648,245.24999678224867
2023,4,195,2.2649503409981775,2.878854962024711,0.11534609891217569,73.30885636401324,69.40399493810675
2023,6,195,2.266336581871819,2.8748538829646364,0.146072722706684,107.95788120815358,112.10563002045632
2023,8,195,2.2699418952726518,2.873883224712987,0.17305087713975703,137.7409214088408,147.94043475863066
2023,12,195,2.2785772638480757,2.8747227342695787,0.2205425539610895,183.1664141265508,196.96212717350213
2023,24,195,2.3050159713550893,2.882114810545812,0.3284531504781429,256.35724498594624,260.85905703874994
2023,60,195,2.348052841594111,2.900170377365089,0.47158165105183214,314.32713576560553,304.68783981194605
2024,4,255,2.2143590767156542,2.75660794079604,-0.028346168041483367,82.35421060856982,83.41297240357893
2024,6,255,2.215171578289124,2.7496811001749206,0.0076367335860220015,123.21228653919334,141.44030043933154
2024,8,255,2.2187990459233253,2.746690924868019,0.04252170030205612,159.4081182540695,189.07288056584758
2024,12,255,2.229067609045378,2.7452918797315804,0.10218551207871912,217.37245688939464,257.63328546402334
2024,24,255,2.255422551444336,2.7494974562521937,0.22304660859130654,316.4031693730036,352.3825669376897
2024,60,255,2.2889284569458974,2.762379374269235,0.3705413808818901,398.13638994661835,414.21802708584534
2025,4,257,2.230896253207722,2.84811961946193,-0.038225330338778715,97.8501461654231,115.0067674134867
2025,6,257,2.220519272090835,2.8408309290971534,-0.05766674524584815,145.80829017408115,184.2337791221849
2025,8,257,2.2145502938762087,2.835877407825578,-0.060980584949961364,188.5051709050549,245.0726672775957
2025,12,257,2.2118443498380533,2.8304861462304745,-0.04688725244685924,258.94602232866,336.53153272574644
